አለ(0)	ተናገረ፣አወራ 
ይጠላል(1)	ይወገዳል።

ይሞቃል(0)	ሙቀት ይፈጥራል።
ይሞቃል(1)	ሙቀት ይገኝበታል።

ይበላል(0)	ይመገባል ለምግብ ፣ ልብ ይነካል ፤ያሳዝናል እንደማለት ነው።
ይበላል(1)	ለምግብነት ይውላል።

የሚኮራባቸው(0)	አንድ ነገር ላይ መተማመን ንብረት ሊሆን ይችላል፣ አለኝታወች።
የሚኮራባቸው(1)	የሚንጠባረርባቸው።

ይሞላል(0)	ሙሉ ይሆናል ፤ ውሃ ሊሆን ይችላል።
ይሞላል(1)	ሙሉ እንዲሆን ይደረጋል።

ይወጣል(0)	ከፍታ መውጣት፤ ከውስጥ ወደ ውጭ መውጣት ሊሆን ይችላል።
ይወጣል(1)	ሃላፊነት መወጣት እንደማለት ይሆናል።

ያላቸው(0)	ለአንድ ነገር ባለቤት/ባለንብረት  የሆኑ።
ያላቸው(1)	ለንግግር የተናገራቸው ያወራችው ነገሮች ሊኖን ይችላል።

ለጋ(0)	ያልበሰለ፣ ህጻን።
ለጋ(1)	ኳስ ለጋ እሩረ መታ ወደ ላይ።

ለሚገባው(0)	አንድን ነገር መረዳት፤ማወቅን ያመለክታል።
ለሚገባው(1)	ለሚያስፈለገው፤አስፈላጊ ለሆነ ነገር።

ይቀዳል(0)	ዉሃ ከመቅዳት ወይም መጨመር ጋር ትርጉም ይኖረዋል።
ይቀዳል(1)	ልብስ የቀዳል ይበጭቃ ጋር ትርጉም ይኖረዋል።

ይገባል(0)	መሆን ያስፈልጋል እንደማለት ነው understandable።
ይገባል(1)	ወደ አንድ ቦታ መግባትን ያመለክታል፡፡
